timestamp,employer,location,job_title,years_at_employer,years_of_experience,salary,signing_bonus,annual_bonus,annual_stock_bonus,gender,additional_comments
2016-03-21 13:40:00,,"Phoenix, AZ",Systems Administrator I,0.0,6.0,59000.0,0.0,0.0,0.0,Male,
2016-03-21 13:40:00,,Edinburgh,Software Developer,1.0,2.0,32000.0,0.0,3000.0,0.0,Male,
2016-03-21 13:40:00,Microsoft,Redmon,Software Engineer,0.0,0.0,106000.0,15000.0,20000.0,30000.0,Male,
2016-03-21 13:40:00,Netflix,Los Gatos,Senior Software Engineer,1.0,10.0,350000.0,0.0,0.0,0.0,Male,"Proof: see the ""Wage Offer From"" column on http://visadoor.com/h1bvisa-by-companies-2015-netflix-inc , which is the actual offered salary. And these are just the H-1Bs."
2016-03-21 13:40:00,Ignition One,New York City,Software Engineer,1.0,8.0,155000.0,0.0,36000.0,0.0,Male,Don't work here.
2016-03-21 13:40:00,< 5 person startup,San Francisco,Software Engineer,1.0,6.0,125000.0,0.0,0.0,25000.0,Male,
2016-03-21 13:40:00,,Remote,Senior Software Engineer,1.0,6.0,140000.0,0.0,0.0,0.0,Male,
2016-03-21 13:40:00,Optum,"Boston, MA",Junior Systems Engineer,3.0,1.0,80000.0,0.0,5.0,0.0,Male,
2016-03-21 13:40:00,A company in SF,Vancouver,Software Engineer,2.0,20.0,125000.0,0.0,1250.0,0.0,Male,
2016-03-21 13:40:00,Intel,"Santa Clara, CA",Senior Software Engineer,4.0,12.0,145000.0,0.0,30000.0,0.0,Male,
2016-03-21 13:40:00,Viacom,New York City,iOS Developer,0.0,1.0,92000.0,0.0,0.0,0.0,Male,
